DateTime,Room Name,Actual
2022-08-29 10:30:00,CB06.03.019,4.0
2022-08-29 11:00:00,CB06.03.019,3.0
2022-08-29 11:30:00,CB06.03.019,3.0
2022-08-29 12:00:00,CB06.03.019,8.0
2022-08-29 12:30:00,CB06.03.019,9.0
2022-08-30 09:00:00,CB06.03.019,5.0
2022-08-30 09:30:00,CB06.03.019,6.0
2022-08-30 10:00:00,CB06.03.019,15.0
2022-08-30 10:30:00,CB06.03.019,16.0
2022-08-30 11:00:00,CB06.03.019,16.0
2022-08-30 11:30:00,CB06.03.019,16.0
2022-08-30 12:00:00,CB06.03.019,16.0
2022-08-30 12:30:00,CB06.03.019,17.0
2022-08-30 13:00:00,CB06.03.019,13.0
2022-08-30 13:30:00,CB06.03.019,5.0
2022-08-30 14:00:00,CB06.03.019,5.0
2022-08-30 14:30:00,CB06.03.019,7.0
2022-08-30 15:00:00,CB06.03.019,11.0
2022-08-30 15:30:00,CB06.03.019,11.0
2022-08-30 16:00:00,CB06.03.019,10.0
2022-08-30 16:30:00,CB06.03.019,13.0
2022-08-30 17:00:00,CB06.03.019,15.0
2022-08-30 17:30:00,CB06.03.019,8.0
2022-08-30 18:00:00,CB06.03.019,5.0
2022-08-30 18:30:00,CB06.03.019,4.0
2022-08-30 19:00:00,CB06.03.019,4.0
2022-08-30 19:30:00,CB06.03.019,4.0
2022-08-30 20:00:00,CB06.03.019,7.0
2022-08-30 20:30:00,CB06.03.019,6.0
2022-08-30 21:00:00,CB06.03.019,6.0
2022-08-30 21:30:00,CB06.03.019,6.0
2022-08-30 22:00:00,CB06.03.019,6.0
2022-08-30 22:30:00,CB06.03.019,6.0
2022-08-30 23:00:00,CB06.03.019,6.0
2022-08-30 23:30:00,CB06.03.019,6.0
2022-08-31 10:00:00,CB06.03.019,4.0
2022-08-31 11:00:00,CB06.03.019,23.0
2022-08-31 11:30:00,CB06.03.019,24.0
2022-08-31 12:00:00,CB06.03.019,25.0
2022-08-31 12:30:00,CB06.03.019,25.0
2022-08-31 13:00:00,CB06.03.019,18.0
2022-08-31 13:30:00,CB06.03.019,19.0
2022-08-31 14:00:00,CB06.03.019,21.0
2022-08-31 14:30:00,CB06.03.019,20.0
2022-08-31 15:00:00,CB06.03.019,9.0
2022-08-31 15:30:00,CB06.03.019,8.0
2022-08-31 16:30:00,CB06.03.019,5.0
2022-08-31 17:00:00,CB06.03.019,6.0
2022-08-31 17:30:00,CB06.03.019,6.0
2022-08-31 18:00:00,CB06.03.019,8.0
2022-08-31 18:30:00,CB06.03.019,5.0
2022-08-31 19:00:00,CB06.03.019,0.0
2022-08-31 19:30:00,CB06.03.019,0.0
2022-08-31 20:00:00,CB06.03.019,0.0
2022-08-31 20:30:00,CB06.03.019,0.0
2022-09-01 08:30:00,CB06.03.019,4.0
2022-09-01 09:00:00,CB06.03.019,25.0
2022-09-01 09:30:00,CB06.03.019,26.0
2022-09-01 10:00:00,CB06.03.019,25.0
2022-09-01 10:30:00,CB06.03.019,22.0
2022-09-01 11:00:00,CB06.03.019,20.0
2022-09-01 11:30:00,CB06.03.019,20.0
2022-09-01 12:00:00,CB06.03.019,9.0
2022-09-01 12:30:00,CB06.03.019,25.0
2022-09-01 13:00:00,CB06.03.019,25.0
2022-09-01 13:30:00,CB06.03.019,25.0
2022-09-01 14:00:00,CB06.03.019,33.0
2022-09-01 14:30:00,CB06.03.019,29.0
2022-09-01 15:00:00,CB06.03.019,29.0
2022-09-01 15:30:00,CB06.03.019,21.0
2022-09-01 16:00:00,CB06.03.019,24.0
2022-09-01 16:30:00,CB06.03.019,23.0
2022-09-01 17:00:00,CB06.03.019,28.0
2022-09-01 17:30:00,CB06.03.019,26.0
2022-09-01 18:00:00,CB06.03.019,30.0
2022-09-01 18:30:00,CB06.03.019,28.0
2022-09-01 19:00:00,CB06.03.019,20.0
2022-09-01 19:30:00,CB06.03.019,19.0
2022-09-01 20:00:00,CB06.03.019,19.0
2022-09-01 20:30:00,CB06.03.019,20.0
2022-09-01 21:00:00,CB06.03.019,20.0
2022-09-01 21:30:00,CB06.03.019,17.0
2022-09-01 22:00:00,CB06.03.019,18.0
2022-09-01 22:30:00,CB06.03.019,15.0
2022-09-01 23:00:00,CB06.03.019,15.0
2022-09-01 23:30:00,CB06.03.019,15.0
2022-09-02 09:00:00,CB06.03.019,0.0
2022-09-02 09:30:00,CB06.03.019,11.0
2022-09-02 10:00:00,CB06.03.019,20.0
2022-09-02 10:30:00,CB06.03.019,20.0
2022-09-02 11:00:00,CB06.03.019,18.0
2022-09-02 11:30:00,CB06.03.019,20.0
2022-09-02 12:00:00,CB06.03.019,20.0
2022-09-02 12:30:00,CB06.03.019,20.0
2022-09-02 13:00:00,CB06.03.019,21.0
2022-09-02 14:00:00,CB06.03.019,3.0
2022-09-02 15:00:00,CB06.03.019,3.0
2022-09-02 15:30:00,CB06.03.019,4.0
2022-09-02 16:00:00,CB06.03.019,3.0
2022-09-02 16:30:00,CB06.03.019,3.0
2022-09-02 17:00:00,CB06.03.019,5.0
2022-09-02 17:30:00,CB06.03.019,5.0
2022-09-02 18:00:00,CB06.03.019,4.0
2022-09-02 18:30:00,CB06.03.019,5.0
2022-09-02 19:00:00,CB06.03.019,4.0
2022-09-02 19:30:00,CB06.03.019,6.0
2022-09-02 20:00:00,CB06.03.019,6.0
2022-09-02 20:30:00,CB06.03.019,6.0
2022-09-02 21:00:00,CB06.03.019,5.0
2022-09-02 21:30:00,CB06.03.019,5.0
2022-09-02 22:00:00,CB06.03.019,5.0
2022-09-03 10:30:00,CB06.03.019,3.0
2022-09-03 11:00:00,CB06.03.019,3.0
2022-09-03 11:30:00,CB06.03.019,4.0
2022-09-03 12:00:00,CB06.03.019,4.0
2022-09-03 12:30:00,CB06.03.019,3.0
2022-09-03 13:00:00,CB06.03.019,3.0
2022-09-03 13:30:00,CB06.03.019,3.0
2022-09-03 14:00:00,CB06.03.019,5.0
2022-09-03 14:30:00,CB06.03.019,6.0
2022-09-03 15:00:00,CB06.03.019,7.0
2022-09-03 15:30:00,CB06.03.019,5.0
2022-09-03 16:00:00,CB06.03.019,5.0
2022-09-03 16:30:00,CB06.03.019,5.0
2022-09-04 12:30:00,CB06.03.019,4.0
2022-09-04 13:00:00,CB06.03.019,4.0
2022-09-04 13:30:00,CB06.03.019,4.0
2022-09-04 14:00:00,CB06.03.019,4.0
2022-09-04 15:30:00,CB06.03.019,5.0
2022-09-04 16:00:00,CB06.03.019,5.0
2022-09-04 16:30:00,CB06.03.019,6.0
2022-09-04 17:00:00,CB06.03.019,6.0
2022-09-04 17:30:00,CB06.03.019,6.0
2022-09-04 18:00:00,CB06.03.019,7.0
2022-09-04 18:30:00,CB06.03.019,6.0
2022-09-04 19:00:00,CB06.03.019,5.0
2022-09-04 19:30:00,CB06.03.019,5.0
2022-09-04 20:00:00,CB06.03.019,5.0
2022-09-04 20:30:00,CB06.03.019,4.0
