DateTime,Room Name,Actual
2022-08-29 09:00:00,CB06.03.017,13.0
2022-08-29 09:30:00,CB06.03.017,18.0
2022-08-29 10:00:00,CB06.03.017,21.0
2022-08-29 10:30:00,CB06.03.017,19.0
2022-08-29 11:00:00,CB06.03.017,22.0
2022-08-29 11:30:00,CB06.03.017,22.0
2022-08-29 12:00:00,CB06.03.017,8.0
2022-08-29 12:30:00,CB06.03.017,9.0
2022-08-29 13:00:00,CB06.03.017,27.0
2022-08-29 13:30:00,CB06.03.017,29.0
2022-08-29 14:00:00,CB06.03.017,29.0
2022-08-29 14:30:00,CB06.03.017,27.0
2022-08-29 15:00:00,CB06.03.017,26.0
2022-08-29 15:30:00,CB06.03.017,23.0
2022-08-29 16:00:00,CB06.03.017,11.0
2022-08-29 16:30:00,CB06.03.017,8.0
2022-08-29 17:00:00,CB06.03.017,8.0
2022-08-29 17:30:00,CB06.03.017,9.0
2022-08-29 18:00:00,CB06.03.017,9.0
2022-08-29 18:30:00,CB06.03.017,9.0
2022-08-29 19:00:00,CB06.03.017,9.0
2022-08-29 19:30:00,CB06.03.017,9.0
2022-08-29 20:00:00,CB06.03.017,9.0
2022-08-29 20:30:00,CB06.03.017,10.0
2022-08-29 21:00:00,CB06.03.017,9.0
2022-08-29 21:30:00,CB06.03.017,10.0
2022-08-29 22:00:00,CB06.03.017,8.0
2022-08-29 22:30:00,CB06.03.017,10.0
2022-08-29 23:00:00,CB06.03.017,10.0
2022-08-29 23:30:00,CB06.03.017,10.0
2022-08-30 09:00:00,CB06.03.017,18.0
2022-08-30 09:30:00,CB06.03.017,21.0
2022-08-30 10:00:00,CB06.03.017,13.0
2022-08-30 10:30:00,CB06.03.017,20.0
2022-08-30 11:00:00,CB06.03.017,20.0
2022-08-30 11:30:00,CB06.03.017,20.0
2022-08-30 12:00:00,CB06.03.017,14.0
2022-08-30 12:30:00,CB06.03.017,22.0
2022-08-30 13:00:00,CB06.03.017,24.0
2022-08-30 13:30:00,CB06.03.017,21.0
2022-08-30 14:00:00,CB06.03.017,26.0
2022-08-30 14:30:00,CB06.03.017,25.0
2022-08-30 15:00:00,CB06.03.017,26.0
2022-08-30 15:30:00,CB06.03.017,19.0
2022-08-30 16:00:00,CB06.03.017,15.0
2022-08-30 16:30:00,CB06.03.017,14.0
2022-08-30 17:00:00,CB06.03.017,11.0
2022-08-30 17:30:00,CB06.03.017,10.0
2022-08-30 18:00:00,CB06.03.017,10.0
2022-08-30 18:30:00,CB06.03.017,10.0
2022-08-30 19:00:00,CB06.03.017,10.0
2022-08-30 19:30:00,CB06.03.017,15.0
2022-08-30 20:00:00,CB06.03.017,15.0
