DateTime,Room Name,Actual
2022-08-29 09:30:00,CB06.03.014,3.0
2022-08-29 10:00:00,CB06.03.014,24.0
2022-08-29 10:30:00,CB06.03.014,24.0
2022-08-29 11:00:00,CB06.03.014,24.0
2022-08-29 11:30:00,CB06.03.014,24.0
2022-08-29 12:00:00,CB06.03.014,22.0
2022-08-29 12:30:00,CB06.03.014,10.0
2022-08-29 13:00:00,CB06.03.014,6.0
2022-08-29 13:30:00,CB06.03.014,7.0
2022-08-29 14:00:00,CB06.03.014,6.0
2022-08-29 14:30:00,CB06.03.014,8.0
2022-08-29 15:00:00,CB06.03.014,7.0
2022-08-29 15:30:00,CB06.03.014,6.0
2022-08-29 16:00:00,CB06.03.014,3.0
2022-08-30 10:00:00,CB06.03.014,4.0
2022-08-30 10:30:00,CB06.03.014,7.0
2022-08-30 11:00:00,CB06.03.014,7.0
2022-08-30 11:30:00,CB06.03.014,11.0
2022-08-30 12:00:00,CB06.03.014,7.0
2022-08-30 12:30:00,CB06.03.014,11.0
2022-08-30 13:30:00,CB06.03.014,3.0
2022-08-30 14:30:00,CB06.03.014,3.0
2022-08-30 15:00:00,CB06.03.014,3.0
2022-08-30 18:30:00,CB06.03.014,5.0
2022-08-30 19:00:00,CB06.03.014,5.0
2022-08-30 20:30:00,CB06.03.014,3.0
2022-08-30 21:00:00,CB06.03.014,3.0
2022-08-30 21:30:00,CB06.03.014,5.0
2022-08-30 22:00:00,CB06.03.014,5.0
2022-08-30 22:30:00,CB06.03.014,5.0
2022-08-30 23:00:00,CB06.03.014,5.0
2022-08-30 23:30:00,CB06.03.014,5.0
2022-08-31 09:00:00,CB06.03.014,3.0
2022-08-31 09:30:00,CB06.03.014,4.0
2022-08-31 10:00:00,CB06.03.014,6.0
2022-08-31 10:30:00,CB06.03.014,5.0
2022-08-31 11:00:00,CB06.03.014,21.0
2022-08-31 11:30:00,CB06.03.014,22.0
2022-08-31 12:00:00,CB06.03.014,21.0
2022-08-31 12:30:00,CB06.03.014,21.0
2022-08-31 13:00:00,CB06.03.014,19.0
2022-08-31 13:30:00,CB06.03.014,13.0
2022-08-31 14:00:00,CB06.03.014,7.0
2022-08-31 14:30:00,CB06.03.014,5.0
2022-08-31 17:00:00,CB06.03.014,3.0
2022-08-31 17:30:00,CB06.03.014,3.0
2022-08-31 18:00:00,CB06.03.014,5.0
2022-08-31 18:30:00,CB06.03.014,16.0
2022-08-31 19:00:00,CB06.03.014,39.0
2022-08-31 19:30:00,CB06.03.014,39.0
2022-08-31 20:00:00,CB06.03.014,36.0
2022-08-31 20:30:00,CB06.03.014,31.0
2022-08-31 23:00:00,CB06.03.014,4.0
2022-09-01 09:30:00,CB06.03.014,3.0
2022-09-01 10:00:00,CB06.03.014,3.0
2022-09-01 10:30:00,CB06.03.014,5.0
2022-09-01 11:00:00,CB06.03.014,8.0
2022-09-01 11:30:00,CB06.03.014,13.0
2022-09-01 12:00:00,CB06.03.014,22.0
2022-09-01 12:30:00,CB06.03.014,27.0
2022-09-01 13:00:00,CB06.03.014,31.0
2022-09-01 13:30:00,CB06.03.014,33.0
2022-09-01 14:00:00,CB06.03.014,21.0
2022-09-01 14:30:00,CB06.03.014,21.0
2022-09-01 15:00:00,CB06.03.014,20.0
2022-09-01 15:30:00,CB06.03.014,18.0
2022-09-01 16:00:00,CB06.03.014,20.0
2022-09-01 16:30:00,CB06.03.014,19.0
2022-09-01 17:00:00,CB06.03.014,26.0
2022-09-01 17:30:00,CB06.03.014,26.0
2022-09-01 18:00:00,CB06.03.014,27.0
2022-09-01 18:30:00,CB06.03.014,22.0
2022-09-01 19:00:00,CB06.03.014,23.0
2022-09-01 19:30:00,CB06.03.014,23.0
2022-09-01 20:00:00,CB06.03.014,25.0
2022-09-01 20:30:00,CB06.03.014,23.0
2022-09-01 21:00:00,CB06.03.014,19.0
2022-09-01 21:30:00,CB06.03.014,19.0
2022-09-01 22:00:00,CB06.03.014,20.0
2022-09-01 22:30:00,CB06.03.014,19.0
2022-09-01 23:00:00,CB06.03.014,18.0
2022-09-01 23:30:00,CB06.03.014,18.0
2022-09-02 09:00:00,CB06.03.014,14.0
2022-09-02 09:30:00,CB06.03.014,15.0
2022-09-02 10:00:00,CB06.03.014,13.0
2022-09-02 10:30:00,CB06.03.014,11.0
2022-09-02 11:00:00,CB06.03.014,12.0
2022-09-02 11:30:00,CB06.03.014,3.0
2022-09-02 12:00:00,CB06.03.014,6.0
2022-09-02 12:30:00,CB06.03.014,5.0
2022-09-02 13:00:00,CB06.03.014,8.0
2022-09-02 13:30:00,CB06.03.014,9.0
2022-09-02 14:00:00,CB06.03.014,8.0
2022-09-02 14:30:00,CB06.03.014,9.0
2022-09-02 15:00:00,CB06.03.014,10.0
2022-09-02 15:30:00,CB06.03.014,9.0
2022-09-02 17:00:00,CB06.03.014,4.0
2022-09-02 17:30:00,CB06.03.014,5.0
2022-09-02 18:00:00,CB06.03.014,5.0
2022-09-02 18:30:00,CB06.03.014,4.0
2022-09-02 19:00:00,CB06.03.014,4.0
2022-09-02 19:30:00,CB06.03.014,3.0
2022-09-02 20:00:00,CB06.03.014,3.0
2022-09-02 20:30:00,CB06.03.014,3.0
2022-09-02 21:00:00,CB06.03.014,5.0
2022-09-02 21:30:00,CB06.03.014,5.0
2022-09-02 22:00:00,CB06.03.014,6.0
2022-09-02 22:30:00,CB06.03.014,7.0
2022-09-02 23:00:00,CB06.03.014,7.0
2022-09-02 23:30:00,CB06.03.014,7.0
2022-09-03 09:00:00,CB06.03.014,0.0
2022-09-03 09:30:00,CB06.03.014,8.0
2022-09-03 10:00:00,CB06.03.014,8.0
2022-09-03 10:30:00,CB06.03.014,8.0
2022-09-03 11:00:00,CB06.03.014,4.0
2022-09-03 11:30:00,CB06.03.014,8.0
2022-09-03 12:00:00,CB06.03.014,8.0
2022-09-03 12:30:00,CB06.03.014,8.0
2022-09-03 13:00:00,CB06.03.014,4.0
2022-09-03 13:30:00,CB06.03.014,6.0
2022-09-03 14:00:00,CB06.03.014,6.0
2022-09-03 14:30:00,CB06.03.014,6.0
2022-09-03 15:00:00,CB06.03.014,6.0
2022-09-03 15:30:00,CB06.03.014,5.0
2022-09-03 16:00:00,CB06.03.014,5.0
2022-09-03 16:30:00,CB06.03.014,4.0
2022-09-03 17:00:00,CB06.03.014,4.0
2022-09-03 18:30:00,CB06.03.014,4.0
2022-09-03 19:00:00,CB06.03.014,3.0
2022-09-03 19:30:00,CB06.03.014,3.0
2022-09-03 20:00:00,CB06.03.014,3.0
2022-09-03 20:30:00,CB06.03.014,3.0
2022-09-03 21:00:00,CB06.03.014,5.0
2022-09-03 21:30:00,CB06.03.014,5.0
2022-09-03 22:00:00,CB06.03.014,5.0
2022-09-03 22:30:00,CB06.03.014,4.0
2022-09-03 23:00:00,CB06.03.014,4.0
2022-09-03 23:30:00,CB06.03.014,5.0
2022-09-04 14:00:00,CB06.03.014,5.0
2022-09-04 14:30:00,CB06.03.014,4.0
2022-09-04 15:00:00,CB06.03.014,6.0
2022-09-04 15:30:00,CB06.03.014,6.0
2022-09-04 16:30:00,CB06.03.014,4.0
2022-09-04 17:00:00,CB06.03.014,4.0
2022-09-04 17:30:00,CB06.03.014,6.0
2022-09-04 18:00:00,CB06.03.014,5.0
2022-09-04 18:30:00,CB06.03.014,5.0
2022-09-04 19:00:00,CB06.03.014,4.0
2022-09-04 19:30:00,CB06.03.014,4.0
2022-09-04 20:00:00,CB06.03.014,5.0
2022-09-04 20:30:00,CB06.03.014,5.0
2022-09-04 21:00:00,CB06.03.014,4.0
2022-09-04 21:30:00,CB06.03.014,4.0
2022-09-04 22:00:00,CB06.03.014,4.0
2022-09-04 22:30:00,CB06.03.014,4.0
2022-09-04 23:00:00,CB06.03.014,4.0
2022-09-04 23:30:00,CB06.03.014,4.0
2022-09-05 09:00:00,CB06.03.014,25.0
2022-09-05 09:30:00,CB06.03.014,26.0
2022-09-05 10:00:00,CB06.03.014,26.0
2022-09-05 10:30:00,CB06.03.014,27.0
2022-09-05 11:00:00,CB06.03.014,26.0
2022-09-05 11:30:00,CB06.03.014,26.0
2022-09-05 12:00:00,CB06.03.014,27.0
2022-09-05 12:30:00,CB06.03.014,25.0
2022-09-05 13:30:00,CB06.03.014,15.0
2022-09-05 14:00:00,CB06.03.014,24.0
2022-09-05 14:30:00,CB06.03.014,24.0
2022-09-05 15:00:00,CB06.03.014,8.0
2022-09-05 15:30:00,CB06.03.014,6.0
2022-09-05 16:00:00,CB06.03.014,6.0
2022-09-05 16:30:00,CB06.03.014,4.0
2022-09-05 17:00:00,CB06.03.014,3.0
2022-09-05 17:30:00,CB06.03.014,3.0
2022-09-05 18:00:00,CB06.03.014,4.0
2022-09-05 18:30:00,CB06.03.014,4.0
2022-09-05 19:00:00,CB06.03.014,4.0
2022-09-05 22:00:00,CB06.03.014,3.0
2022-09-05 22:30:00,CB06.03.014,3.0
2022-09-05 23:30:00,CB06.03.014,3.0
2022-09-06 03:30:00,CB06.03.014,7.0
2022-09-06 04:00:00,CB06.03.014,4.0
2022-09-06 04:30:00,CB06.03.014,3.0
2022-09-06 05:00:00,CB06.03.014,3.0
2022-09-06 05:30:00,CB06.03.014,3.0
2022-09-06 06:00:00,CB06.03.014,3.0
2022-09-06 06:30:00,CB06.03.014,3.0
2022-09-06 07:00:00,CB06.03.014,3.0
2022-09-06 07:30:00,CB06.03.014,3.0
2022-09-06 08:00:00,CB06.03.014,3.0
2022-09-06 08:30:00,CB06.03.014,3.0
2022-09-06 09:00:00,CB06.03.014,4.0
2022-09-06 09:30:00,CB06.03.014,6.0
2022-09-06 10:00:00,CB06.03.014,6.0
2022-09-06 10:30:00,CB06.03.014,12.0
2022-09-06 11:00:00,CB06.03.014,15.0
2022-09-06 11:30:00,CB06.03.014,15.0
2022-09-06 12:00:00,CB06.03.014,15.0
2022-09-06 12:30:00,CB06.03.014,12.0
2022-09-06 13:00:00,CB06.03.014,9.0
2022-09-06 13:30:00,CB06.03.014,8.0
2022-09-06 14:00:00,CB06.03.014,9.0
2022-09-06 14:30:00,CB06.03.014,10.0
2022-09-06 15:00:00,CB06.03.014,12.0
2022-09-06 15:30:00,CB06.03.014,9.0
2022-09-06 16:00:00,CB06.03.014,12.0
2022-09-06 16:30:00,CB06.03.014,12.0
2022-09-06 17:00:00,CB06.03.014,21.0
2022-09-06 17:30:00,CB06.03.014,17.0
2022-09-06 18:00:00,CB06.03.014,19.0
2022-09-06 18:30:00,CB06.03.014,18.0
2022-09-06 19:00:00,CB06.03.014,15.0
2022-09-06 19:30:00,CB06.03.014,14.0
2022-09-06 20:00:00,CB06.03.014,15.0
2022-09-06 20:30:00,CB06.03.014,16.0
2022-09-06 21:00:00,CB06.03.014,9.0
2022-09-06 21:30:00,CB06.03.014,8.0
2022-09-06 22:00:00,CB06.03.014,8.0
2022-09-06 22:30:00,CB06.03.014,8.0
2022-09-06 23:00:00,CB06.03.014,8.0
2022-09-06 23:30:00,CB06.03.014,8.0
2022-09-07 05:00:00,CB06.03.014,3.0
2022-09-07 05:30:00,CB06.03.014,3.0
2022-09-07 06:00:00,CB06.03.014,3.0
2022-09-07 06:30:00,CB06.03.014,3.0
2022-09-07 07:00:00,CB06.03.014,3.0
2022-09-07 07:30:00,CB06.03.014,3.0
2022-09-07 08:00:00,CB06.03.014,3.0
2022-09-07 08:30:00,CB06.03.014,3.0
2022-09-07 09:00:00,CB06.03.014,5.0
2022-09-07 09:30:00,CB06.03.014,11.0
2022-09-07 10:00:00,CB06.03.014,7.0
2022-09-07 10:30:00,CB06.03.014,12.0
2022-09-07 11:00:00,CB06.03.014,0.0
2022-09-07 11:30:00,CB06.03.014,0.0
2022-09-07 12:00:00,CB06.03.014,3.0
2022-09-07 12:30:00,CB06.03.014,0.0
2022-09-07 13:00:00,CB06.03.014,4.0
2022-09-07 13:30:00,CB06.03.014,0.0
2022-09-07 14:00:00,CB06.03.014,0.0
2022-09-07 14:30:00,CB06.03.014,0.0
2022-09-07 16:00:00,CB06.03.014,7.0
2022-09-07 16:30:00,CB06.03.014,7.0
2022-09-07 17:00:00,CB06.03.014,4.0
2022-09-07 17:30:00,CB06.03.014,7.0
2022-09-07 18:00:00,CB06.03.014,7.0
2022-09-07 18:30:00,CB06.03.014,22.0
2022-09-07 19:00:00,CB06.03.014,25.0
2022-09-07 19:30:00,CB06.03.014,24.0
2022-09-07 20:00:00,CB06.03.014,23.0
2022-09-08 11:00:00,CB06.03.014,4.0
2022-09-08 11:30:00,CB06.03.014,7.0
2022-09-08 12:00:00,CB06.03.014,9.0
2022-09-08 12:30:00,CB06.03.014,10.0
2022-09-08 13:00:00,CB06.03.014,15.0
2022-09-08 13:30:00,CB06.03.014,16.0
2022-09-08 14:00:00,CB06.03.014,17.0
2022-09-08 14:30:00,CB06.03.014,5.0
2022-09-08 15:00:00,CB06.03.014,0.0
2022-09-08 15:30:00,CB06.03.014,3.0
2022-09-08 16:00:00,CB06.03.014,3.0
2022-09-08 16:30:00,CB06.03.014,8.0
2022-09-08 17:00:00,CB06.03.014,7.0
2022-09-08 19:30:00,CB06.03.014,3.0
2022-09-09 08:30:00,CB06.03.014,3.0
2022-09-09 09:00:00,CB06.03.014,15.0
2022-09-09 09:30:00,CB06.03.014,14.0
2022-09-09 10:00:00,CB06.03.014,14.0
2022-09-09 10:30:00,CB06.03.014,10.0
2022-09-09 11:00:00,CB06.03.014,5.0
2022-09-09 11:30:00,CB06.03.014,0.0
2022-09-09 13:00:00,CB06.03.014,12.0
2022-09-09 13:30:00,CB06.03.014,19.0
2022-09-09 14:00:00,CB06.03.014,18.0
2022-09-09 14:30:00,CB06.03.014,19.0
2022-09-09 15:00:00,CB06.03.014,17.0
2022-09-09 15:30:00,CB06.03.014,12.0
2022-09-09 16:00:00,CB06.03.014,3.0
2022-09-09 21:00:00,CB06.03.014,4.0
2022-09-09 21:30:00,CB06.03.014,4.0
2022-09-09 22:00:00,CB06.03.014,4.0
2022-09-09 22:30:00,CB06.03.014,4.0
2022-09-09 23:00:00,CB06.03.014,6.0
2022-09-09 23:30:00,CB06.03.014,3.0
2022-09-10 11:30:00,CB06.03.014,3.0
2022-09-10 12:00:00,CB06.03.014,6.0
2022-09-10 19:00:00,CB06.03.014,3.0
2022-09-10 19:30:00,CB06.03.014,3.0
2022-09-10 20:00:00,CB06.03.014,3.0
2022-09-12 09:00:00,CB06.03.014,36.0
2022-09-12 09:30:00,CB06.03.014,42.0
2022-09-12 10:00:00,CB06.03.014,44.0
2022-09-12 10:30:00,CB06.03.014,36.0
2022-09-12 11:00:00,CB06.03.014,48.0
2022-09-12 11:30:00,CB06.03.014,48.0
2022-09-12 12:30:00,CB06.03.014,5.0
2022-09-12 13:00:00,CB06.03.014,33.0
2022-09-12 13:30:00,CB06.03.014,33.0
