DateTime,Room Name,Actual
2022-08-29 09:00:00,CB06.03.028,0.0
2022-08-29 09:30:00,CB06.03.028,0.0
2022-08-29 16:00:00,CB06.03.028,78.0
2022-08-29 16:30:00,CB06.03.028,76.0
2022-08-30 09:00:00,CB06.03.028,76.0
2022-08-30 09:30:00,CB06.03.028,82.0
2022-08-30 10:00:00,CB06.03.028,6.0
2022-08-30 13:00:00,CB06.03.028,38.0
2022-08-30 13:30:00,CB06.03.028,39.0
2022-08-30 14:00:00,CB06.03.028,5.0
2022-08-30 16:00:00,CB06.03.028,102.0
2022-08-30 16:30:00,CB06.03.028,98.0
2022-08-30 19:00:00,CB06.03.028,5.0
2022-08-30 19:30:00,CB06.03.028,5.0
2022-08-30 20:00:00,CB06.03.028,3.0
2022-08-30 20:30:00,CB06.03.028,3.0
2022-08-31 08:30:00,CB06.03.028,3.0
2022-08-31 09:00:00,CB06.03.028,7.0
2022-08-31 09:30:00,CB06.03.028,7.0
2022-08-31 10:00:00,CB06.03.028,6.0
2022-08-31 10:30:00,CB06.03.028,5.0
2022-08-31 11:00:00,CB06.03.028,0.0
2022-08-31 11:30:00,CB06.03.028,0.0
2022-08-31 12:00:00,CB06.03.028,0.0
2022-08-31 13:30:00,CB06.03.028,23.0
2022-08-31 14:00:00,CB06.03.028,157.0
2022-08-31 14:30:00,CB06.03.028,162.0
2022-08-31 15:00:00,CB06.03.028,0.0
2022-08-31 15:30:00,CB06.03.028,0.0
2022-08-31 16:00:00,CB06.03.028,3.0
2022-08-31 16:30:00,CB06.03.028,3.0
2022-09-01 08:00:00,CB06.03.028,71.0
2022-09-01 08:30:00,CB06.03.028,68.0
2022-09-01 09:00:00,CB06.03.028,4.0
2022-09-01 09:30:00,CB06.03.028,4.0
2022-09-01 10:00:00,CB06.03.028,72.0
2022-09-01 10:30:00,CB06.03.028,80.0
2022-09-01 11:00:00,CB06.03.028,83.0
2022-09-01 11:30:00,CB06.03.028,75.0
2022-09-01 12:00:00,CB06.03.028,71.0
2022-09-01 13:30:00,CB06.03.028,3.0
2022-09-01 14:00:00,CB06.03.028,3.0
2022-09-01 15:30:00,CB06.03.028,76.0
2022-09-01 16:00:00,CB06.03.028,71.0
2022-09-01 16:30:00,CB06.03.028,67.0
2022-09-02 09:30:00,CB06.03.028,3.0
2022-09-02 10:00:00,CB06.03.028,3.0
2022-09-02 10:30:00,CB06.03.028,3.0
2022-09-02 11:00:00,CB06.03.028,13.0
2022-09-02 11:30:00,CB06.03.028,132.0
2022-09-02 12:00:00,CB06.03.028,131.0
2022-09-02 12:30:00,CB06.03.028,0.0
2022-09-02 15:30:00,CB06.03.028,3.0
2022-09-02 16:00:00,CB06.03.028,25.0
2022-09-02 16:30:00,CB06.03.028,25.0
2022-09-02 17:00:00,CB06.03.028,25.0
2022-09-02 17:30:00,CB06.03.028,8.0
2022-09-02 18:00:00,CB06.03.028,11.0
2022-09-02 18:30:00,CB06.03.028,12.0
2022-09-02 19:00:00,CB06.03.028,12.0
2022-09-02 19:30:00,CB06.03.028,12.0
2022-09-05 09:00:00,CB06.03.028,176.0
2022-09-05 09:30:00,CB06.03.028,21.0
2022-09-05 10:00:00,CB06.03.028,5.0
2022-09-05 10:30:00,CB06.03.028,5.0
2022-09-05 11:00:00,CB06.03.028,5.0
2022-09-05 11:30:00,CB06.03.028,5.0
2022-09-05 12:00:00,CB06.03.028,5.0
2022-09-05 12:30:00,CB06.03.028,5.0
2022-09-05 13:00:00,CB06.03.028,6.0
2022-09-05 13:30:00,CB06.03.028,6.0
2022-09-05 14:00:00,CB06.03.028,6.0
2022-09-05 14:30:00,CB06.03.028,6.0
